link,best_kge,ifc-hlm,p,product
318208,-0.7940517223013679,-0.9081782638899305,100.0,s0.04_9
318225,-0.47241359988298415,-0.9057549325308178,100.0,s0.04_9
318272,0.3141789814706112,0.0545210741694368,50.0,s0.03_8
323529,0.5655672616190071,0.2423075057190024,100.0,s0.04_12
326618,-0.10505396605683637,-0.16675544783918506,50.0,s0.04_9
326673,-0.10871177470612037,-0.23846961479091977,100.0,s0.04_12
334282,0.33271315275675806,-0.05209428271436822,100.0,s0.04_9
334449,0.4951001832629469,0.20532647918198887,100.0,s0.04_9
350386,0.4235480186193197,0.18379968063943963,37.5,s0.02_4
367567,0.7335649498298796,0.6021894648514996,100.0,s0.04_12
367697,0.6780085165272199,0.4428663445943359,50.0,s0.04_9
367813,0.7355660243304823,0.4962067932344802,100.0,s0.04_12
368052,0.5949231273070206,0.4702243553863356,50.0,s0.04_9
374994,-0.75936676593766,-1.5448121092144502,50.0,s0.04_9
378371,0.5923148738345454,0.3042440022517995,100.0,s0.04_9
397674,0.26287930395678094,-0.2044981886539834,66.66666666666667,s0.04_9
399711,0.5083613389879236,0.2629638781448296,50.0,s0.02_4
406874,-0.23526349724931195,-0.7792991058584373,100.0,s0.03_8
412870,-1.2321085846672086,-2.3745957974681104,100.0,s0.04_12
425748,0.02194464069922364,-0.23286659583452862,66.66666666666667,s0.04_12
425876,0.2918219229699419,0.008103454759610607,100.0,s0.04_12
426049,0.38158407794459204,0.27614639544287767,100.0,s0.04_12
426130,0.5149737885009193,0.39530332071093555,50.0,s0.04_9
426239,0.5330101351862865,0.3062431857344772,100.0,s0.04_12
432886,0.5907838321502237,0.40968118851522495,100.0,s0.04_9
434365,0.4785929170000045,0.26089778594669955,100.0,s0.04_9
434478,0.3923889088903546,0.14595428297692892,50.0,s0.04_9
434514,0.48007710180789337,0.3521071941926338,100.0,s0.02_4
437890,-1.0826174703936644,-2.1324890134310377,66.66666666666667,s0.04_12
447887,0.20752826897048404,-0.0493223683957531,75.0,s0.04_9
448250,0.3947931375436676,0.1400529517825151,100.0,s0.04_12
450755,0.2361255486108912,0.07270674872783267,33.333333333333336,s0.03_8
463834,0.38219391504729927,0.10929830265058627,50.0,s0.04_9
465030,0.5300326298487668,0.4235363343098112,66.66666666666667,s0.04_9
486916,-0.9678937623288435,-1.5290534575924617,71.42857142857143,s0.04_9
487052,-0.21610039032613315,-0.4712945445665514,100.0,s0.04_9
487254,0.3884960487846484,0.15553630401084279,66.66666666666667,s0.04_12
503998,0.40211828522640636,0.1004704713579016,100.0,s0.04_12
504030,0.4556017888892018,0.2001985548556674,100.0,s0.04_12
504104,0.36380765090145845,0.1520556443294121,100.0,s0.02_4
522792,0.5504315534744098,0.3655080442062565,100.0,s0.04_12
