link,best_kge,ifc-hlm,p,product
522980,0.7074020590632599,0.4964107954803051,0.36764705882352944,4.0
553137,0.4186520681705268,0.23266591119118368,0.29069767441860467,12.0
555741,0.28850122730976124,0.014698321557071514,0.3333333333333333,12.0
555865,0.307065932695598,0.019750162807686933,0.25675675675675674,9.0
74725,-0.20586478049668222,-0.3960382148231567,0.30277777777777776,4.0
78279,-0.20778903483467492,-0.33286177540684325,0.5140845070422535,4.0
79118,0.1344846149835892,-0.046306250729927445,0.37888198757763975,4.0
83159,0.3483835890904732,0.08267720080894447,0.6238532110091743,4.0
92050,-0.5587750456259455,-0.7047394117002317,0.43312101910828027,9.0
98104,-0.07255673250897887,-0.2091809405180569,0.24864864864864866,4.0
